cohort,edit,method,reused,steps,parameters,fp32_bytes,optimizer_tensor_bytes,checkpoint_bytes,wall_seconds,generation_seconds,forwards,training_tokens,peak_allocated_bytes,peak_reserved_bytes,original_elapsed_seconds,original_forward_count,original_step,native_fit_QAs,selected_H_QAs,selected_U_QAs,source_images,H_answer_types,scope
OLD15,101,C_FACT,True,320,73728,294912,589832,928198,198.45604634284973,52.73603367805481,1280,13280,,,,,,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,101,C_NO_H,True,320,73728,294912,589832,928198,140.167409658432,28.91417169570923,960,11680,16388643840,16611540992,,,,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,101,BE,True,,58720256,,,,,,,,,,97.35171926300973,,50,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,102,C_FACT,True,320,73728,294912,589832,928134,186.5768632888794,46.09653925895691,1280,10800,,,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,102,C_NO_H,True,320,73728,294912,589832,928134,137.02347254753113,29.216469287872314,960,9840,16388643840,16613638144,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,102,BE,True,,58720256,,,,,,,,,,102.0904957629973,,50,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,103,C_FACT,True,320,73728,294912,589832,928134,179.0738389492035,35.115907430648804,1280,8240,,,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,103,C_NO_H,True,320,73728,294912,589832,928134,127.00124955177307,19.38860249519348,960,7280,16388643840,16613638144,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,103,BE,True,,58720256,,,,,,,,,,102.80295122798998,,50,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,104,C_FACT,True,320,73728,294912,589832,928134,193.74707126617432,51.28200554847717,1280,11920,,,,,,5,2,4,7,{'OPEN': 2},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,104,C_NO_H,True,320,73728,294912,589832,928134,134.73785853385925,25.615652084350586,960,10320,16389659648,16613638144,,,,5,2,4,7,{'OPEN': 2},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,104,BE,True,,58720256,,,,,,,,,,97.8842491050018,,50,5,2,4,7,{'OPEN': 2},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,105,C_FACT,True,320,73728,294912,589832,928134,193.96278142929077,49.419090270996094,1280,11920,,,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,105,C_NO_H,True,320,73728,294912,589832,928134,134.29430556297302,25.54669499397278,960,10320,16389855232,16613638144,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,105,BE,True,,58720256,,,,,,,,,,97.27976218098775,,50,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,106,C_FACT,True,320,73728,294912,589832,928198,192.2709400653839,49.89435625076294,1280,13360,,,,,,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,106,C_NO_H,True,320,73728,294912,589832,928198,129.67854714393616,27.690439462661743,960,11760,16390020096,16613638144,,,,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,106,BE,True,,58720256,,,,,,,,,,95.63163295795675,,50,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,107,C_FACT,True,320,73728,294912,589832,928134,184.46373748779297,40.599992990493774,1280,8000,,,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,107,C_NO_H,True,320,73728,294912,589832,928134,128.80689334869385,20.90229368209839,960,7040,16390020096,16613638144,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,107,BE,True,,58720256,,,,,,,,,,104.50394149404019,,50,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,108,C_FACT,True,320,73728,294912,589832,928198,191.56665992736816,52.13585114479065,1280,9360,,,,,,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,108,C_NO_H,True,320,73728,294912,589832,928198,131.629145860672,24.00076413154602,960,7760,16390020096,16613638144,,,,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,108,BE,True,,58720256,,,,,,,,,,95.66679745307192,,50,5,3,4,8,{'OPEN': 3},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,109,C_FACT,True,320,73728,294912,589832,928134,189.22241187095642,45.3591890335083,1280,10320,,,,,,5,2,4,7,{'YES_NO': 2},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,109,C_NO_H,True,320,73728,294912,589832,928134,129.88796472549438,21.2309992313385,960,9360,16390020096,16613638144,,,,5,2,4,7,{'YES_NO': 2},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,109,BE,True,,58720256,,,,,,,,,,94.90752179396804,,50,5,2,4,7,{'YES_NO': 2},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,110,C_FACT,True,320,73728,294912,589832,928134,190.54864954948425,48.658902645111084,1280,11600,,,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,110,C_NO_H,True,320,73728,294912,589832,928134,134.26466178894043,25.528944730758667,960,10640,16390020096,16613638144,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,110,BE,True,,58720256,,,,,,,,,,91.35197181301191,,50,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,111,C_FACT,True,320,73728,294912,589832,928134,176.77915453910828,33.77219772338867,1280,7680,,,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,111,C_NO_H,True,320,73728,294912,589832,928134,124.7709002494812,17.247762441635132,960,6720,16390020096,16613638144,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,111,BE,True,,58720256,,,,,,,,,,91.10845680604689,,50,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,112,C_FACT,True,320,73728,294912,589832,928134,173.13484287261963,43.58437180519104,1280,14960,,,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,112,C_NO_H,True,320,73728,294912,589832,928134,126.83663439750671,17.45886516571045,960,13680,16390511616,16613638144,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,112,BE,True,,58720256,,,,,,,,,,99.37939868599642,,50,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,113,C_FACT,True,320,73728,294912,589832,928134,184.87691140174866,41.92871284484863,1280,12080,,,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,113,C_NO_H,True,320,73728,294912,589832,928134,131.75084900856018,23.95582127571106,960,11120,16390511616,16613638144,,,,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,113,BE,True,,58720256,,,,,,,,,,96.13353033200838,,50,5,1,4,6,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,114,C_FACT,True,320,73728,294912,589832,928134,196.43055081367493,56.328423261642456,1280,9520,,,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,114,C_NO_H,True,320,73728,294912,589832,928134,128.61226105690002,20.359206914901733,960,8240,16390511616,16613638144,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,114,BE,True,,58720256,,,,,,,,,,102.36555084900465,,50,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,116,C_FACT,True,320,73728,294912,589832,928134,199.7418496608734,56.52378487586975,1280,11200,,,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,116,C_NO_H,True,320,73728,294912,589832,928134,119.9882230758667,22.86843514442444,960,9920,16390904832,16613638144,,,,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
OLD15,116,BE,True,,58720256,,,,,,,,,,96.4234491980169,,50,5,1,4,6,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,1,C_FACT,True,320,73728,294912,589832,928006,156.9201784133911,2.482412815093994,1280,10240,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,1,C_NO_H,True,320,73728,294912,589832,928006,111.39787602424622,2.465747594833374,960,8640,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,1,BE,True,,58720256,,,,,,,,,,27.263010415947065,,50,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,2,C_FACT,True,320,73728,294912,589832,928006,149.51675629615784,2.3923158645629883,1280,10240,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,2,C_NO_H,True,320,73728,294912,589832,928006,112.21567988395691,2.473728656768799,960,8640,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,2,BE,True,,58720256,,,,,,,,,,23.974351174896583,,50,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,3,C_FACT,True,320,73728,294912,589832,928006,148.9742329120636,2.486124277114868,1280,10240,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,3,C_NO_H,True,320,73728,294912,589832,928006,110.4300377368927,2.56573748588562,960,8640,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,3,BE,True,,58720256,,,,,,,,,,23.014191773952916,,50,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,4,C_FACT,True,320,73728,294912,589832,928006,149.85019159317017,2.677835464477539,1280,10240,16585995264,17758683136,,,,5,1,1,2,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,4,C_NO_H,True,320,73728,294912,589832,928006,111.21288657188416,2.387997627258301,960,9280,16585995264,17758683136,,,,5,1,1,2,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,4,BE,True,,58720256,,,,,,,,,,83.71786423795857,,50,5,1,1,2,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,5,C_FACT,True,320,73728,294912,589832,928006,147.2046971321106,1.9089436531066895,1280,8960,16585995264,17758683136,,,,5,1,1,3,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,5,C_NO_H,True,320,73728,294912,589832,928006,109.97958970069885,1.7676339149475098,960,8000,16585995264,17758683136,,,,5,1,1,3,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,5,BE,True,,58720256,,,,,,,,,,22.146874635014683,,50,5,1,1,3,{'YES_NO': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,6,C_FACT,True,320,73728,294912,589832,928006,147.591237783432,1.9883787631988525,1280,9280,16585995264,17758683136,,,,5,1,1,2,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,6,C_NO_H,True,320,73728,294912,589832,928006,111.98760771751404,1.8451380729675293,960,8000,16585995264,17758683136,,,,5,1,1,2,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,6,BE,True,,58720256,,,,,,,,,,23.977289377944544,,50,5,1,1,2,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,7,C_FACT,True,320,73728,294912,589832,928006,148.22552108764648,2.399554491043091,1280,10240,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,7,C_NO_H,True,320,73728,294912,589832,928006,110.78168821334839,2.241692304611206,960,8640,16585995264,17758683136,,,,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
NEW7,7,BE,True,,58720256,,,,,,,,,,22.544223120901734,,50,5,1,1,3,{'OPEN': 1},H support is diagnostic only for C_NO_H and BE; BE uses its original native recipe
