cohort,track,prefix,method,mode,role,stratum,strict_role,diagnostic_step,is_diagnostic,average,inputs,edits,source_images,patients,semantic,semantic_numerator,semantic_denominator,semantic_edit_support,v4_primary,v4_primary_numerator,v4_primary_denominator,v4_primary_edit_support,original_reference_correct,original_reference_correct_numerator,original_reference_correct_denominator,original_reference_correct_edit_support,base_correct,base_correct_numerator,base_correct_denominator,base_correct_edit_support,base_correct_damage,base_correct_damage_numerator,base_correct_damage_denominator,base_correct_damage_edit_support,base_correct_preserved,base_correct_preserved_numerator,base_correct_preserved_denominator,base_correct_preserved_edit_support,base_wrong_became_correct,base_wrong_became_correct_numerator,base_wrong_became_correct_denominator,base_wrong_became_correct_edit_support,base_wrong_changed,base_wrong_changed_numerator,base_wrong_changed_denominator,base_wrong_changed_edit_support,on,on_numerator,on_denominator,on_edit_support,joint_on_correct,joint_on_correct_numerator,joint_on_correct_denominator,joint_on_correct_edit_support,fpr,fpr_numerator,fpr_denominator,fpr_edit_support,misfire_damage,misfire_damage_numerator,misfire_damage_denominator,misfire_damage_edit_support,token_parity,token_parity_numerator,token_parity_denominator,token_parity_edit_support,kl,kl_numerator,kl_denominator,kl_edit_support,own_forced_correct,own_forced_correct_numerator,own_forced_correct_denominator,own_forced_correct_edit_support,rejection,rejection_numerator,rejection_denominator,rejection_edit_support,wrong_writer,wrong_writer_numerator,wrong_writer_denominator,wrong_writer_edit_support,writer_error,writer_error_numerator,writer_error_denominator,writer_error_edit_support,equivalent_correct,equivalent_correct_numerator,equivalent_correct_denominator,equivalent_correct_edit_support,other_expert_correct,other_expert_correct_numerator,other_expert_correct_denominator,other_expert_correct_edit_support,selected_writer_error,selected_writer_error_numerator,selected_writer_error_denominator,selected_writer_error_edit_support,ended_with_eos,ended_with_eos_numerator,ended_with_eos_denominator,ended_with_eos_edit_support,cap_hit,cap_hit_numerator,cap_hit_denominator,cap_hit_edit_support,wrong_given_on_base_correct,wrong_given_on_base_correct_numerator,wrong_given_on_base_correct_denominator,wrong_given_on_base_correct_edit_support,wrong_given_on_strict_base,wrong_given_on_strict_base_numerator,wrong_given_on_strict_base_denominator,wrong_given_on_strict_base_edit_support,positive_wrong_rejection,positive_wrong_rejection_numerator,positive_wrong_rejection_denominator,positive_wrong_rejection_edit_support,positive_wrong_selection,positive_wrong_selection_numerator,positive_wrong_selection_denominator,positive_wrong_selection_edit_support,positive_owner_error,positive_owner_error_numerator,positive_owner_error_denominator,positive_owner_error_edit_support,correct_via_base_return,correct_via_base_return_numerator,correct_via_base_return_denominator,correct_via_base_return_edit_support,correct_via_owner_writer,correct_via_owner_writer_numerator,correct_via_owner_writer_denominator,correct_via_owner_writer_edit_support,correct_via_other_writer,correct_via_other_writer_numerator,correct_via_other_writer_denominator,correct_via_other_writer_edit_support,row_kind,candidate,control,control_mode,metric,delta,ci_low,ci_high,paired_inputs,paired_edits,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,bootstrap_seed,bootstrap_draws,edit,condition,step,panel,medical_scope,roi_subset,pairs,both_correct,native_only,H_only,both_wrong,pair_correct,unique_inputs,unique_images
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,challenge,same_answer_context_not_conflict,STRICT_BASE,320,False,macro,27,14,6,UNKNOWN,0.75,20.0,27,14,,,0,0,0.75,20.0,27,14,0.5833333333333334,15.0,27,14,0.3,3.0,15,10,0.7,12.0,15,10,0.6875,8.0,12,8,1.0,12.0,12,8,1.0,27.0,27,14,0.75,20.0,27,14,1.0,27.0,27,14,0.3,3.0,15,10,0.0,0.0,27,14,,,0,0,0.75,20.0,27,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,27.0,27,14,,,0,0,0.3,3.0,15,10,0.25,7.0,27,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,challenge,same_answer_context_not_conflict,STRICT_BASE,320,False,micro,27,14,6,UNKNOWN,0.7407407407407407,20.0,27,14,,,0,0,0.7407407407407407,20.0,27,14,0.5555555555555556,15.0,27,14,0.2,3.0,15,10,0.8,12.0,15,10,0.6666666666666666,8.0,12,8,1.0,12.0,12,8,1.0,27.0,27,14,0.7407407407407407,20.0,27,14,1.0,27.0,27,14,0.2,3.0,15,10,0.0,0.0,27,14,,,0,0,0.7407407407407407,20.0,27,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,27.0,27,14,,,0,0,0.2,3.0,15,10,0.25925925925925924,7.0,27,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,H,STRICT_BASE,320,False,macro,19,14,7,UNKNOWN,0.5357142857142857,11.0,19,14,,,0,0,0.5357142857142857,11.0,19,14,0.8214285714285714,15.0,19,14,0.3076923076923077,4.0,15,13,0.6923076923076923,11.0,15,13,0.0,0.0,4,4,1.0,4.0,4,4,1.0,19.0,19,14,0.5357142857142857,11.0,19,14,1.0,19.0,19,14,0.3076923076923077,4.0,15,13,0.0,0.0,19,14,,,0,0,0.5357142857142857,11.0,19,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,19.0,19,14,,,0,0,0.3076923076923077,4.0,15,13,0.4642857142857143,8.0,19,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,H,STRICT_BASE,320,False,micro,19,14,7,UNKNOWN,0.5789473684210527,11.0,19,14,,,0,0,0.5789473684210527,11.0,19,14,0.7894736842105263,15.0,19,14,0.26666666666666666,4.0,15,13,0.7333333333333333,11.0,15,13,0.0,0.0,4,4,1.0,4.0,4,4,1.0,19.0,19,14,0.5789473684210527,11.0,19,14,1.0,19.0,19,14,0.26666666666666666,4.0,15,13,0.0,0.0,19,14,,,0,0,0.5789473684210527,11.0,19,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,19.0,19,14,,,0,0,0.26666666666666666,4.0,15,13,0.42105263157894735,8.0,19,14,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,U,STRICT_BASE,320,False,macro,190,15,41,UNKNOWN,0.5222222222222223,99.0,190,15,,,0,0,0.5222222222222223,99.0,190,15,0.645909645909646,123.0,190,15,0.2577056277056277,33.0,123,15,0.7422943722943722,90.0,123,15,0.1292063492063492,9.0,67,15,0.5096825396825397,34.0,67,15,1.0,190.0,190,15,0.5222222222222223,99.0,190,15,1.0,190.0,190,15,0.2577056277056277,33.0,123,15,0.5168498168498169,98.0,190,15,,,0,0,0.5222222222222223,99.0,190,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,190.0,190,15,,,0,0,0.2577056277056277,33.0,123,15,0.4777777777777778,91.0,190,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,U,STRICT_BASE,320,False,micro,190,15,41,UNKNOWN,0.5210526315789473,99.0,190,15,,,0,0,0.5210526315789473,99.0,190,15,0.6473684210526316,123.0,190,15,0.2682926829268293,33.0,123,15,0.7317073170731707,90.0,123,15,0.13432835820895522,9.0,67,15,0.5074626865671642,34.0,67,15,1.0,190.0,190,15,0.5210526315789473,99.0,190,15,1.0,190.0,190,15,0.2682926829268293,33.0,123,15,0.5157894736842106,98.0,190,15,,,0,0,0.5210526315789473,99.0,190,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,190.0,190,15,,,0,0,0.2682926829268293,33.0,123,15,0.4789473684210526,91.0,190,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,320,False,macro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.5333333333333333,16.0,30,15,,,0,0,,,0,0,1.0,14.0,14,9,1.0,14.0,14,9,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,320,False,micro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.5333333333333333,16.0,30,15,,,0,0,,,0,0,1.0,14.0,14,9,1.0,14.0,14,9,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,320,False,macro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.6333333333333333,19.0,30,15,,,0,0,,,0,0,1.0,11.0,11,6,1.0,11.0,11,6,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,320,False,micro,30,15,15,UNKNOWN,1.0,30.0,30,15,,,0,0,1.0,30.0,30,15,0.6333333333333333,19.0,30,15,,,0,0,,,0,0,1.0,11.0,11,6,1.0,11.0,11,6,1.0,30.0,30,15,1.0,30.0,30,15,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,30.0,30,15,,,0,0,,,0,0,,,0,0,0.0,0.0,30,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,fit,H,STRICT_BASE,320,False,macro,27,15,9,UNKNOWN,0.9555555555555556,25.0,27,15,,,0,0,0.9555555555555556,25.0,27,15,0.9777777777777777,26.0,27,15,0.02222222222222222,1.0,26,15,0.9777777777777777,25.0,26,15,0.0,0.0,1,1,1.0,1.0,1,1,1.0,27.0,27,15,0.9555555555555556,25.0,27,15,1.0,27.0,27,15,0.02222222222222222,1.0,26,15,0.0,0.0,27,15,,,0,0,0.9555555555555556,25.0,27,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,27.0,27,15,,,0,0,0.02222222222222222,1.0,26,15,0.04444444444444444,2.0,27,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,fit,H,STRICT_BASE,320,False,micro,27,15,9,UNKNOWN,0.9259259259259259,25.0,27,15,,,0,0,0.9259259259259259,25.0,27,15,0.9629629629629629,26.0,27,15,0.038461538461538464,1.0,26,15,0.9615384615384616,25.0,26,15,0.0,0.0,1,1,1.0,1.0,1,1,1.0,27.0,27,15,0.9259259259259259,25.0,27,15,1.0,27.0,27,15,0.038461538461538464,1.0,26,15,0.0,0.0,27,15,,,0,0,0.9259259259259259,25.0,27,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,27.0,27,15,,,0,0,0.038461538461538464,1.0,26,15,0.07407407407407407,2.0,27,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,fit,U,STRICT_BASE,320,False,macro,204,15,43,UNKNOWN,0.49743589743589745,101.0,204,15,,,0,0,0.49743589743589745,101.0,204,15,0.5835164835164836,119.0,204,15,0.19883597883597884,25.0,119,15,0.8011640211640212,94.0,119,15,0.07563492063492064,7.0,85,15,0.3702910052910053,31.0,85,15,1.0,204.0,204,15,0.49743589743589745,101.0,204,15,1.0,204.0,204,15,0.19883597883597884,25.0,119,15,0.5904761904761905,120.0,204,15,,,0,0,0.49743589743589745,101.0,204,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,204.0,204,15,,,0,0,0.19883597883597884,25.0,119,15,0.5025641025641026,103.0,204,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,fit,U,STRICT_BASE,320,False,micro,204,15,43,UNKNOWN,0.4950980392156863,101.0,204,15,,,0,0,0.4950980392156863,101.0,204,15,0.5833333333333334,119.0,204,15,0.21008403361344538,25.0,119,15,0.7899159663865546,94.0,119,15,0.08235294117647059,7.0,85,15,0.36470588235294116,31.0,85,15,1.0,204.0,204,15,0.4950980392156863,101.0,204,15,1.0,204.0,204,15,0.21008403361344538,25.0,119,15,0.5882352941176471,120.0,204,15,,,0,0,0.4950980392156863,101.0,204,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,204.0,204,15,,,0,0,0.21008403361344538,25.0,119,15,0.5049019607843137,103.0,204,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEOUT_SLAKE_STAGE2_BANK16,A,0,C_FACT,FORCED_ON,fit,cross_family_confirmation,EDIT_TARGET,320,False,macro,60,15,15,UNKNOWN,1.0,60.0,60,15,,,0,0,1.0,60.0,60,15,0.3,18.0,60,15,,,0,0,,,0,0,1.0,42.0,42,15,1.0,42.0,42,15,1.0,60.0,60,15,1.0,60.0,60,15,,,0,0,,,0,0,0.0,0.0,60,15,,,0,0,1.0,60.0,60,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,60.0,60,15,,,0,0,,,0,0,,,0,0,0.0,0.0,60,15,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,METRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
