edit,phase,seconds,steps,forwards,parameters,training_tokens
1,NATIVE_CP,25.3235291831661,120,,,
1,A2,19.959057823987678,80,,,
1,CP_W0,89.76732827303931,320,648,1476,
1,BE,27.263010415947065,50,,58720256,
1,C_FACT,156.9201784133911,320,1280,73728,10240
1,C_NO_H,111.39787602424622,320,960,73728,8640
2,NATIVE_CP,25.67152689001523,140,,,
2,A2,19.440055216895416,80,,,
2,CP_W0,101.18872372386977,320,648,1476,
2,BE,23.974351174896583,50,,58720256,
2,C_FACT,149.51675629615784,320,1280,73728,10240
2,C_NO_H,112.21567988395691,320,960,73728,8640
3,NATIVE_CP,23.831508863018826,120,,,
3,A2,20.070815237937495,80,,,
3,CP_W0,100.11761529394425,320,648,1476,
3,BE,23.014191773952916,50,,58720256,
3,C_FACT,148.9742329120636,320,1280,73728,10240
3,C_NO_H,110.4300377368927,320,960,73728,8640
4,NATIVE_CP,22.352566709043458,140,,,
4,A2,19.484205789864063,80,,,
4,CP_W0,96.33622773783281,320,648,1476,
4,BE,83.71786423795857,50,,58720256,
4,C_FACT,149.85019159317017,320,1280,73728,10240
4,C_NO_H,111.21288657188416,320,960,73728,9280
5,NATIVE_CP,23.50897261593491,120,,,
5,A2,19.363601048942655,80,,,
5,CP_W0,98.6303103310056,320,648,1476,
5,BE,22.146874635014683,50,,58720256,
5,C_FACT,147.2046971321106,320,1280,73728,8960
5,C_NO_H,109.97958970069885,320,960,73728,8000
6,NATIVE_CP,21.395493412856013,120,,,
6,A2,19.18064024602063,80,,,
6,CP_W0,101.08749840618111,320,648,1476,
6,BE,23.977289377944544,50,,58720256,
6,C_FACT,147.591237783432,320,1280,73728,9280
6,C_NO_H,111.98760771751404,320,960,73728,8000
7,NATIVE_CP,21.435329305939376,120,,,
7,A2,19.56962511083111,80,,,
7,CP_W0,99.02320327796042,320,648,1476,
7,BE,22.544223120901734,50,,58720256,
7,C_FACT,148.22552108764648,320,1280,73728,10240
7,C_NO_H,110.78168821334839,320,960,73728,8640
