subset,stratum,method,mode,metric,subtype,score,edits,probes,edit_macro,probe_micro,ci_low,ci_high,activation,cap_hits,status,definition,H_fit,H_evaluation,interpretation
COMMON_NO_H_BE,ALL_REQUESTS,BE,BASE,U_fit_diagnostic,ALL,literal,200,200,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH,,,
COMMON_NO_H_BE,ALL_REQUESTS,BE,BASE,U_fit_diagnostic,ALL,target_or_source_semantic,200,200,1.0,1.0,1.0,1.0,0,0,AVAILABLE,TRAINING_SOURCE_DIAGNOSTIC,,,
COMMON_NO_H_BE,ALL_REQUESTS,BE,BE_ROUTE_R0,U_fit_diagnostic,ALL,literal,200,200,0.0,0.0,0.0,0.0,71,4,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH,,,
COMMON_NO_H_BE,ALL_REQUESTS,BE,BE_ROUTE_R0,U_fit_diagnostic,ALL,target_or_source_semantic,200,200,0.645,0.645,0.58,0.71,71,4,AVAILABLE,TRAINING_SOURCE_DIAGNOSTIC,,,
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,U_fit_diagnostic,ALL,literal,200,200,0.0,0.0,0.0,0.0,200,7,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH,,,
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,U_fit_diagnostic,ALL,target_or_source_semantic,200,200,0.0,0.0,0.0,0.0,200,7,AVAILABLE,TRAINING_SOURCE_DIAGNOSTIC,,,
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,U_fit_diagnostic,ALL,literal,200,200,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH,,,
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,U_fit_diagnostic,ALL,target_or_source_semantic,200,200,1.0,1.0,1.0,1.0,0,0,AVAILABLE,TRAINING_SOURCE_DIAGNOSTIC,,,
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,U_fit_diagnostic,ALL,literal,200,200,0.0,0.0,0.0,0.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH,,,
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BASE,U_fit_diagnostic,ALL,target_or_source_semantic,200,200,1.0,1.0,1.0,1.0,0,0,AVAILABLE,TRAINING_SOURCE_DIAGNOSTIC,,,
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BE_ROUTE_R0,U_fit_diagnostic,ALL,literal,200,200,0.0,0.0,0.0,0.0,71,1,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH,,,
COMMON_NO_H_BE,ALL_REQUESTS,C_NO_H,BE_ROUTE_R0,U_fit_diagnostic,ALL,target_or_source_semantic,200,200,1.0,1.0,1.0,1.0,71,1,AVAILABLE,TRAINING_SOURCE_DIAGNOSTIC,,,
