metric,mode,score,n,both_correct,NOH_only,BE_only,neither,delta,historical_edit_bootstrap_low,historical_edit_bootstrap_high,supplemental_exact_two_sided_p,status
T_Locality,FORCED_ON,output_preservation,200,0,6,0,194,0.03,0.01,0.055,0.03125,DIAGNOSTIC_NOT_NEW_CONFIRMATION
T_Locality,FORCED_ON,source_semantic,200,1,14,2,183,0.06,0.025,0.1,0.004180908203125,DIAGNOSTIC_NOT_NEW_CONFIRMATION
T_Locality,BE_ROUTE_R0,output_preservation,200,200,0,0,0,0,0,0,1.0,DIAGNOSTIC_NOT_NEW_CONFIRMATION
T_Locality,BE_ROUTE_R0,source_semantic,200,42,0,0,158,0,0,0,1.0,DIAGNOSTIC_NOT_NEW_CONFIRMATION
T_Locality,RC_FIXED_OLD16,output_preservation,200,200,0,0,0,0,0,0,1.0,DIAGNOSTIC_NOT_NEW_CONFIRMATION
T_Locality,RC_FIXED_OLD16,source_semantic,200,42,0,0,158,0,0,0,1.0,DIAGNOSTIC_NOT_NEW_CONFIRMATION
I_Locality,FORCED_ON,output_preservation,67,0,7,0,60,0.1044776119402985,0.029850746268656716,0.1791044776119403,0.015625,DIAGNOSTIC_NOT_NEW_CONFIRMATION
I_Locality,FORCED_ON,source_semantic,67,0,8,0,59,0.11940298507462686,0.04477611940298507,0.208955223880597,0.0078125,DIAGNOSTIC_NOT_NEW_CONFIRMATION
I_Locality,BE_ROUTE_R0,output_preservation,67,49,4,0,14,0.05970149253731343,0.014925373134328358,0.11940298507462686,0.125,DIAGNOSTIC_NOT_NEW_CONFIRMATION
I_Locality,BE_ROUTE_R0,source_semantic,67,11,2,0,54,0.029850746268656716,0,0.07462686567164178,0.5,DIAGNOSTIC_NOT_NEW_CONFIRMATION
I_Locality,RC_FIXED_OLD16,output_preservation,67,67,0,0,0,0,0,0,1.0,DIAGNOSTIC_NOT_NEW_CONFIRMATION
I_Locality,RC_FIXED_OLD16,source_semantic,67,15,0,0,52,0,0,0,1.0,DIAGNOSTIC_NOT_NEW_CONFIRMATION
