kappa,method,metric,subtype,score,status,edits,probes,on,off,activation,on_success,success_given_on,base_correct_given_off,total_success,probe_micro,edit_macro,base_reference_correct,base_correct_damage,base_wrong_correction,off_base_preserved,on_output_preserved,on_output_damaged,target_copy_total,target_copy_on,cap_hits,score_definition
0.0,BE,I_Generality,ALL,exact,HISTORICAL_R0_REFERENCE,164,164,160,4,0.975609756097561,159,0.99375,0.0,159,0.9695121951219512,0.9695121951219512,0,0,159,,,,,,0,TARGET_ADHERENCE
0.0,BE,I_Generality,ALL,semantic,HISTORICAL_R0_REFERENCE,164,164,160,4,0.975609756097561,157,0.98125,0.0,157,0.9573170731707317,0.9573170731707317,2,0,155,,,,,,0,TARGET_ADHERENCE
0.0,BE,I_Locality,ALL,exact,HISTORICAL_R0_REFERENCE,67,67,18,49,0.26865671641791045,0,0.0,0.0,49,0.7313432835820896,0.7313432835820896,0,0,0,49,0,18,17,17,0,OUTPUT_PRESERVATION
0.0,BE,I_Locality,ALL,semantic,HISTORICAL_R0_REFERENCE,67,67,18,49,0.26865671641791045,0,0.0,0.22448979591836735,11,0.16417910447761194,0.16417910447761194,15,4,0,49,0,18,17,17,0,SOURCE_ACCURACY
0.0,BE,Portability,1-hop,exact,HISTORICAL_R0_REFERENCE,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
0.0,BE,Portability,1-hop,semantic,HISTORICAL_R0_REFERENCE,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE
0.0,BE,Portability,2-hop,exact,HISTORICAL_R0_REFERENCE,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE
0.0,BE,Portability,2-hop,semantic,HISTORICAL_R0_REFERENCE,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE
0.0,BE,Portability,3-hop,exact,HISTORICAL_R0_REFERENCE,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
0.0,BE,Portability,3-hop,semantic,HISTORICAL_R0_REFERENCE,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
0.0,BE,Reliability,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
0.0,BE,Reliability,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,伪权威干扰,exact,HISTORICAL_R0_REFERENCE,23,23,23,0,1.0,22,0.9565217391304348,,22,0.9565217391304348,0.9565217391304348,0,0,22,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,伪权威干扰,semantic,HISTORICAL_R0_REFERENCE,23,23,23,0,1.0,23,1.0,,23,1,1,4,0,19,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,无关临床细节,exact,HISTORICAL_R0_REFERENCE,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,无关临床细节,semantic,HISTORICAL_R0_REFERENCE,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,模糊限定词,exact,HISTORICAL_R0_REFERENCE,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,模糊限定词,semantic,HISTORICAL_R0_REFERENCE,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,症状混淆,exact,HISTORICAL_R0_REFERENCE,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,症状混淆,semantic,HISTORICAL_R0_REFERENCE,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,误导性上下文,exact,HISTORICAL_R0_REFERENCE,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
0.0,BE,Robustness,误导性上下文,semantic,HISTORICAL_R0_REFERENCE,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
0.0,BE,T_Generality,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,0,0,196,,,,,,0,TARGET_ADHERENCE
0.0,BE,T_Generality,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,4,0,191,,,,,,0,TARGET_ADHERENCE
0.0,BE,T_Locality,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
0.0,BE,T_Locality,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
0.0,BE,U_fit_diagnostic,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,71,129,0.355,0,0.0,0.0,0,0,0,0,0,0,,,,,,4,TARGET_ADHERENCE
0.0,BE,U_fit_diagnostic,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,71,129,0.355,0,0.0,1.0,129,0.645,0.645,200,71,0,,,,,,4,TARGET_ADHERENCE
0.0,C_NO_H,I_Generality,ALL,exact,HISTORICAL_R0_REFERENCE,164,164,160,4,0.975609756097561,158,0.9875,0.0,158,0.9634146341463414,0.9634146341463414,0,0,158,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,I_Generality,ALL,semantic,HISTORICAL_R0_REFERENCE,164,164,160,4,0.975609756097561,157,0.98125,0.0,157,0.9573170731707317,0.9573170731707317,2,0,155,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,I_Locality,ALL,exact,HISTORICAL_R0_REFERENCE,67,67,18,49,0.26865671641791045,4,0.2222222222222222,0.0,53,0.7910447761194029,0.7910447761194029,0,0,0,49,4,14,10,10,0,OUTPUT_PRESERVATION
0.0,C_NO_H,I_Locality,ALL,semantic,HISTORICAL_R0_REFERENCE,67,67,18,49,0.26865671641791045,2,0.1111111111111111,0.22448979591836735,13,0.19402985074626866,0.19402985074626866,15,2,0,49,4,14,10,10,0,SOURCE_ACCURACY
0.0,C_NO_H,Portability,1-hop,exact,HISTORICAL_R0_REFERENCE,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
0.0,C_NO_H,Portability,1-hop,semantic,HISTORICAL_R0_REFERENCE,73,73,73,0,1.0,7,0.0958904109589041,,7,0.0958904109589041,0.0958904109589041,21,18,4,,,,,,1,TARGET_ADHERENCE
0.0,C_NO_H,Portability,2-hop,exact,HISTORICAL_R0_REFERENCE,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,2,TARGET_ADHERENCE
0.0,C_NO_H,Portability,2-hop,semantic,HISTORICAL_R0_REFERENCE,24,24,24,0,1.0,1,0.041666666666666664,,1,0.041666666666666664,0.041666666666666664,8,7,0,,,,,,2,TARGET_ADHERENCE
0.0,C_NO_H,Portability,3-hop,exact,HISTORICAL_R0_REFERENCE,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Portability,3-hop,semantic,HISTORICAL_R0_REFERENCE,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Reliability,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Reliability,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,伪权威干扰,exact,HISTORICAL_R0_REFERENCE,23,23,23,0,1.0,22,0.9565217391304348,,22,0.9565217391304348,0.9565217391304348,0,0,22,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,伪权威干扰,semantic,HISTORICAL_R0_REFERENCE,23,23,23,0,1.0,23,1.0,,23,1,1,4,0,19,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,无关临床细节,exact,HISTORICAL_R0_REFERENCE,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,无关临床细节,semantic,HISTORICAL_R0_REFERENCE,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,模糊限定词,exact,HISTORICAL_R0_REFERENCE,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,模糊限定词,semantic,HISTORICAL_R0_REFERENCE,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,症状混淆,exact,HISTORICAL_R0_REFERENCE,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,症状混淆,semantic,HISTORICAL_R0_REFERENCE,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,误导性上下文,exact,HISTORICAL_R0_REFERENCE,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,Robustness,误导性上下文,semantic,HISTORICAL_R0_REFERENCE,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
0.0,C_NO_H,T_Generality,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,0,0,195,,,,,,1,TARGET_ADHERENCE
0.0,C_NO_H,T_Generality,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,4,0,192,,,,,,1,TARGET_ADHERENCE
0.0,C_NO_H,T_Locality,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
0.0,C_NO_H,T_Locality,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
0.0,C_NO_H,U_fit_diagnostic,ALL,exact,HISTORICAL_R0_REFERENCE,200,200,71,129,0.355,0,0.0,0.0,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE
0.0,C_NO_H,U_fit_diagnostic,ALL,semantic,HISTORICAL_R0_REFERENCE,200,200,71,129,0.355,71,1.0,1.0,200,1,1,200,0,0,,,,,,1,TARGET_ADHERENCE
0.001361414204400141,BE,I_Generality,ALL,exact,POST_HOC_DIAGNOSTIC_ONLY,164,164,160,4,0.975609756097561,159,0.99375,0.0,159,0.9695121951219512,0.9695121951219512,0,0,159,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,I_Generality,ALL,semantic,POST_HOC_DIAGNOSTIC_ONLY,164,164,160,4,0.975609756097561,157,0.98125,0.0,157,0.9573170731707317,0.9573170731707317,2,0,155,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,I_Locality,ALL,exact,POST_HOC_DIAGNOSTIC_ONLY,67,67,18,49,0.26865671641791045,0,0.0,0.0,49,0.7313432835820896,0.7313432835820896,0,0,0,49,0,18,17,17,0,OUTPUT_PRESERVATION
0.001361414204400141,BE,I_Locality,ALL,semantic,POST_HOC_DIAGNOSTIC_ONLY,67,67,18,49,0.26865671641791045,0,0.0,0.22448979591836735,11,0.16417910447761194,0.16417910447761194,15,4,0,49,0,18,17,17,0,SOURCE_ACCURACY
0.001361414204400141,BE,Portability,1-hop,exact,POST_HOC_DIAGNOSTIC_ONLY,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
0.001361414204400141,BE,Portability,1-hop,semantic,POST_HOC_DIAGNOSTIC_ONLY,73,73,73,0,1.0,8,0.1095890410958904,,8,0.1095890410958904,0.1095890410958904,21,18,5,,,,,,1,TARGET_ADHERENCE
0.001361414204400141,BE,Portability,2-hop,exact,POST_HOC_DIAGNOSTIC_ONLY,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE
0.001361414204400141,BE,Portability,2-hop,semantic,POST_HOC_DIAGNOSTIC_ONLY,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE
0.001361414204400141,BE,Portability,3-hop,exact,POST_HOC_DIAGNOSTIC_ONLY,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,Portability,3-hop,semantic,POST_HOC_DIAGNOSTIC_ONLY,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,Reliability,ALL,exact,POST_HOC_DIAGNOSTIC_ONLY,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,Reliability,ALL,semantic,POST_HOC_DIAGNOSTIC_ONLY,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,Robustness,伪权威干扰,exact,POST_HOC_DIAGNOSTIC_ONLY,23,23,23,0,1.0,22,0.9565217391304348,,22,0.9565217391304348,0.9565217391304348,0,0,22,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,Robustness,伪权威干扰,semantic,POST_HOC_DIAGNOSTIC_ONLY,23,23,23,0,1.0,23,1.0,,23,1,1,4,0,19,,,,,,0,TARGET_ADHERENCE
0.001361414204400141,BE,Robustness,无关临床细节,exact,POST_HOC_DIAGNOSTIC_ONLY,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
