metric,mode,score,edits,known_source_components,edit_weighted_delta,component_equal_weighted_delta,component_bootstrap_low,component_bootstrap_high,leave_one_component_out_min,leave_one_component_out_max,independence
T_Locality,FORCED_ON,output_preservation,200,151,0.03,0.03642384105960265,0.009933774834437087,0.0695364238410596,0.02512562814070352,0.030612244897959183,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
T_Locality,FORCED_ON,source_semantic,200,151,0.06,0.05353200883002208,0.015452538631346577,0.09050772626931568,0.05527638190954774,0.06565656565656566,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
T_Locality,BE_ROUTE_R0,output_preservation,200,151,0,0,0,0,0,0,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
T_Locality,BE_ROUTE_R0,source_semantic,200,151,0,0,0,0,0,0,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
T_Locality,RC_FIXED_OLD16,output_preservation,200,151,0,0,0,0,0,0,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
T_Locality,RC_FIXED_OLD16,source_semantic,200,151,0,0,0,0,0,0,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
I_Locality,FORCED_ON,output_preservation,67,65,0.1044776119402985,0.1076923076923077,0.046153846153846156,0.18461538461538463,0.09090909090909091,0.1076923076923077,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
I_Locality,FORCED_ON,source_semantic,67,65,0.11940298507462686,0.12307692307692308,0.046153846153846156,0.2,0.10606060606060606,0.12307692307692308,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
I_Locality,BE_ROUTE_R0,output_preservation,67,65,0.05970149253731343,0.06153846153846154,0.015384615384615385,0.12307692307692308,0.045454545454545456,0.06153846153846154,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
I_Locality,BE_ROUTE_R0,source_semantic,67,65,0.029850746268656716,0.03076923076923077,0,0.07692307692307693,0.015151515151515152,0.03076923076923077,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
I_Locality,RC_FIXED_OLD16,output_preservation,67,65,0,0,0,0,0,0,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
I_Locality,RC_FIXED_OLD16,source_semantic,67,65,0,0,0,0,0,0,SOURCE_COMPONENT_PROXY; patient/study and unobserved near-duplicates UNKNOWN
