arm,N,panel,metric,correct,denominator,scored,QA_accuracy,source_macro,sources,leave_one_source_out
E0,11,native,native_accuracy,11,11,11,1,1,11,"[1, 1]"
E0,11,native,native_Fix,11,11,11,1,1,11,"[1, 1]"
E0,11,native,H_eval_accuracy,0,0,0,,,0,
E0,11,native,H_eval_Fix,0,0,0,,,0,
E0,11,native,H_eval_Retention,0,0,0,,,0,
E0,11,native,U_eval_accuracy,0,0,0,,,0,
E0,11,native,U_eval_Fix,0,0,0,,,0,
E0,11,native,U_eval_Retention,0,0,0,,,0,
E0,11,native,U_eval_strict_Retention,0,0,0,,,0,
E0,11,native,native_text_extension_accuracy,0,0,0,,,0,
E0,11,native,positive_image_accuracy,0,0,0,,,0,
E0,11,old_DEV,native_accuracy,0,0,0,,,0,
E0,11,old_DEV,native_Fix,0,0,0,,,0,
E0,11,old_DEV,H_eval_accuracy,5,6,6,0.8333333333333334,0.8333333333333333,2,"[0.6666666666666666, 1]"
E0,11,old_DEV,H_eval_Fix,1,2,2,0.5,0.5,2,"[0, 1]"
E0,11,old_DEV,H_eval_Retention,4,4,4,1,1,2,"[1, 1]"
E0,11,old_DEV,U_eval_accuracy,3,9,9,0.3333333333333333,0.4375,4,"[0.25, 0.5833333333333334]"
E0,11,old_DEV,U_eval_Fix,0,1,1,0,0,1,
E0,11,old_DEV,U_eval_Retention,3,8,8,0.375,0.4583333333333333,4,"[0.2777777777777778, 0.6111111111111112]"
E0,11,old_DEV,U_eval_strict_Retention,3,8,8,0.375,0.4583333333333333,4,"[0.2777777777777778, 0.6111111111111112]"
E0,11,old_DEV,native_text_extension_accuracy,11,11,11,1,1,11,"[1, 1]"
E0,11,old_DEV,positive_image_accuracy,0,0,0,,,0,
E0,19,native,native_accuracy,19,19,19,1,1,16,"[1, 1]"
E0,19,native,native_Fix,19,19,19,1,1,16,"[1, 1]"
E0,19,native,H_eval_accuracy,0,0,0,,,0,
E0,19,native,H_eval_Fix,0,0,0,,,0,
E0,19,native,H_eval_Retention,0,0,0,,,0,
E0,19,native,U_eval_accuracy,0,0,0,,,0,
E0,19,native,U_eval_Fix,0,0,0,,,0,
E0,19,native,U_eval_Retention,0,0,0,,,0,
E0,19,native,U_eval_strict_Retention,0,0,0,,,0,
E0,19,native,native_text_extension_accuracy,0,0,0,,,0,
E0,19,native,positive_image_accuracy,0,0,0,,,0,
E0,19,old_DEV,native_accuracy,0,0,0,,,0,
E0,19,old_DEV,native_Fix,0,0,0,,,0,
E0,19,old_DEV,H_eval_accuracy,2,6,6,0.3333333333333333,0.3333333333333333,2,"[0.3333333333333333, 0.3333333333333333]"
E0,19,old_DEV,H_eval_Fix,1,2,2,0.5,0.5,2,"[0, 1]"
E0,19,old_DEV,H_eval_Retention,1,4,4,0.25,0.25,2,"[0, 0.5]"
E0,19,old_DEV,U_eval_accuracy,6,9,9,0.6666666666666666,0.625,4,"[0.5, 0.8333333333333334]"
E0,19,old_DEV,U_eval_Fix,1,1,1,1,1,1,
E0,19,old_DEV,U_eval_Retention,5,8,8,0.625,0.625,4,"[0.5, 0.8333333333333334]"
E0,19,old_DEV,U_eval_strict_Retention,5,8,8,0.625,0.625,4,"[0.5, 0.8333333333333334]"
E0,19,old_DEV,native_text_extension_accuracy,11,11,11,1,1,11,"[1, 1]"
E0,19,old_DEV,positive_image_accuracy,0,0,0,,,0,
E0,32,native,native_accuracy,32,32,32,1,1,24,"[1, 1]"
E0,32,native,native_Fix,32,32,32,1,1,24,"[1, 1]"
E0,32,native,H_eval_accuracy,0,0,0,,,0,
E0,32,native,H_eval_Fix,0,0,0,,,0,
E0,32,native,H_eval_Retention,0,0,0,,,0,
E0,32,native,U_eval_accuracy,0,0,0,,,0,
E0,32,native,U_eval_Fix,0,0,0,,,0,
E0,32,native,U_eval_Retention,0,0,0,,,0,
E0,32,native,U_eval_strict_Retention,0,0,0,,,0,
E0,32,native,native_text_extension_accuracy,0,0,0,,,0,
E0,32,native,positive_image_accuracy,0,0,0,,,0,
E0,32,old_DEV,native_accuracy,0,0,0,,,0,
E0,32,old_DEV,native_Fix,0,0,0,,,0,
E0,32,old_DEV,H_eval_accuracy,2,6,6,0.3333333333333333,0.3333333333333333,2,"[0.3333333333333333, 0.3333333333333333]"
E0,32,old_DEV,H_eval_Fix,1,2,2,0.5,0.5,2,"[0, 1]"
E0,32,old_DEV,H_eval_Retention,1,4,4,0.25,0.25,2,"[0, 0.5]"
E0,32,old_DEV,U_eval_accuracy,8,9,9,0.8888888888888888,0.875,4,"[0.8333333333333334, 1]"
E0,32,old_DEV,U_eval_Fix,1,1,1,1,1,1,
E0,32,old_DEV,U_eval_Retention,7,8,8,0.875,0.875,4,"[0.8333333333333334, 1]"
E0,32,old_DEV,U_eval_strict_Retention,6,7,7,0.8571428571428571,0.875,4,"[0.8333333333333334, 1]"
E0,32,old_DEV,native_text_extension_accuracy,11,11,11,1,1,11,"[1, 1]"
E0,32,old_DEV,positive_image_accuracy,0,0,0,,,0,
E0,45,native,native_accuracy,45,45,45,1,1,30,"[1, 1]"
E0,45,native,native_Fix,45,45,45,1,1,30,"[1, 1]"
E0,45,native,H_eval_accuracy,0,0,0,,,0,
E0,45,native,H_eval_Fix,0,0,0,,,0,
E0,45,native,H_eval_Retention,0,0,0,,,0,
E0,45,native,U_eval_accuracy,0,0,0,,,0,
E0,45,native,U_eval_Fix,0,0,0,,,0,
E0,45,native,U_eval_Retention,0,0,0,,,0,
E0,45,native,U_eval_strict_Retention,0,0,0,,,0,
E0,45,native,native_text_extension_accuracy,0,0,0,,,0,
E0,45,native,positive_image_accuracy,0,0,0,,,0,
E0,45,old_DEV,native_accuracy,0,0,0,,,0,
E0,45,old_DEV,native_Fix,0,0,0,,,0,
E0,45,old_DEV,H_eval_accuracy,2,6,6,0.3333333333333333,0.3333333333333333,2,"[0.3333333333333333, 0.3333333333333333]"
E0,45,old_DEV,H_eval_Fix,1,2,2,0.5,0.5,2,"[0, 1]"
E0,45,old_DEV,H_eval_Retention,1,4,4,0.25,0.25,2,"[0, 0.5]"
E0,45,old_DEV,U_eval_accuracy,8,9,9,0.8888888888888888,0.875,4,"[0.8333333333333334, 1]"
E0,45,old_DEV,U_eval_Fix,1,1,1,1,1,1,
E0,45,old_DEV,U_eval_Retention,7,8,8,0.875,0.875,4,"[0.8333333333333334, 1]"
E0,45,old_DEV,U_eval_strict_Retention,6,7,7,0.8571428571428571,0.875,4,"[0.8333333333333334, 1]"
E0,45,old_DEV,native_text_extension_accuracy,11,11,11,1,1,11,"[1, 1]"
E0,45,old_DEV,positive_image_accuracy,0,0,0,,,0,
E0,45,new_viewed_DEV,native_accuracy,0,0,0,,,0,
E0,45,new_viewed_DEV,native_Fix,0,0,0,,,0,
E0,45,new_viewed_DEV,H_eval_accuracy,12,24,24,0.5,0.5,8,"[0.42857142857142855, 0.5238095238095238]"
E0,45,new_viewed_DEV,H_eval_Fix,5,6,6,0.8333333333333334,0.8,5,"[0.75, 1]"
E0,45,new_viewed_DEV,H_eval_Retention,7,18,18,0.3888888888888889,0.375,8,"[0.2857142857142857, 0.42857142857142855]"
E0,45,new_viewed_DEV,U_eval_accuracy,10,14,14,0.7142857142857143,0.6875,8,"[0.6428571428571429, 0.7857142857142857]"
E0,45,new_viewed_DEV,U_eval_Fix,0,1,1,0,0,1,
E0,45,new_viewed_DEV,U_eval_Retention,10,13,13,0.7692307692307693,0.75,8,"[0.7142857142857143, 0.8571428571428571]"
E0,45,new_viewed_DEV,U_eval_strict_Retention,7,8,8,0.875,0.875,8,"[0.8571428571428571, 1]"
E0,45,new_viewed_DEV,native_text_extension_accuracy,0,0,0,,,0,
E0,45,new_viewed_DEV,positive_image_accuracy,0,0,0,,,0,
E0,45,positive_DEV,native_accuracy,0,0,0,,,0,
E0,45,positive_DEV,native_Fix,0,0,0,,,0,
E0,45,positive_DEV,H_eval_accuracy,0,0,0,,,0,
E0,45,positive_DEV,H_eval_Fix,0,0,0,,,0,
E0,45,positive_DEV,H_eval_Retention,0,0,0,,,0,
E0,45,positive_DEV,U_eval_accuracy,0,0,0,,,0,
E0,45,positive_DEV,U_eval_Fix,0,0,0,,,0,
E0,45,positive_DEV,U_eval_Retention,0,0,0,,,0,
E0,45,positive_DEV,U_eval_strict_Retention,0,0,0,,,0,
E0,45,positive_DEV,native_text_extension_accuracy,0,0,0,,,0,
E0,45,positive_DEV,positive_image_accuracy,1,4,4,0.25,0.16666666666666666,2,"[0, 0.3333333333333333]"
E0,45,insertion,native_accuracy,45,45,45,1,1,30,"[1, 1]"
E0,45,insertion,native_Fix,45,45,45,1,1,30,"[1, 1]"
E0,45,insertion,H_eval_accuracy,0,0,0,,,0,
E0,45,insertion,H_eval_Fix,0,0,0,,,0,
E0,45,insertion,H_eval_Retention,0,0,0,,,0,
E0,45,insertion,U_eval_accuracy,0,0,0,,,0,
E0,45,insertion,U_eval_Fix,0,0,0,,,0,
E0,45,insertion,U_eval_Retention,0,0,0,,,0,
E0,45,insertion,U_eval_strict_Retention,0,0,0,,,0,
E0,45,insertion,native_text_extension_accuracy,0,0,0,,,0,
E0,45,insertion,positive_image_accuracy,0,0,0,,,0,
E0,45,CONFIRM_source_probe,native_accuracy,0,0,0,,,0,
E0,45,CONFIRM_source_probe,native_Fix,0,0,0,,,0,
E0,45,CONFIRM_source_probe,H_eval_accuracy,1,1,1,1,1,1,
E0,45,CONFIRM_source_probe,H_eval_Fix,0,0,0,,,0,
E0,45,CONFIRM_source_probe,H_eval_Retention,1,1,1,1,1,1,
E0,45,CONFIRM_source_probe,U_eval_accuracy,3,4,4,0.75,0.75,4,"[0.6666666666666666, 1]"
E0,45,CONFIRM_source_probe,U_eval_Fix,0,1,1,0,0,1,
E0,45,CONFIRM_source_probe,U_eval_Retention,3,3,3,1,1,3,"[1, 1]"
E0,45,CONFIRM_source_probe,U_eval_strict_Retention,3,3,3,1,1,3,"[1, 1]"
E0,45,CONFIRM_source_probe,native_text_extension_accuracy,0,0,0,,,0,
E0,45,CONFIRM_source_probe,positive_image_accuracy,0,0,0,,,0,
E1,11,native,native_accuracy,11,11,11,1,1,11,"[1, 1]"
E1,11,native,native_Fix,11,11,11,1,1,11,"[1, 1]"
E1,11,native,H_eval_accuracy,0,0,0,,,0,
E1,11,native,H_eval_Fix,0,0,0,,,0,
E1,11,native,H_eval_Retention,0,0,0,,,0,
E1,11,native,U_eval_accuracy,0,0,0,,,0,
E1,11,native,U_eval_Fix,0,0,0,,,0,
E1,11,native,U_eval_Retention,0,0,0,,,0,
E1,11,native,U_eval_strict_Retention,0,0,0,,,0,
E1,11,native,native_text_extension_accuracy,0,0,0,,,0,
E1,11,native,positive_image_accuracy,0,0,0,,,0,
E1,11,old_DEV,native_accuracy,0,0,0,,,0,
E1,11,old_DEV,native_Fix,0,0,0,,,0,
E1,11,old_DEV,H_eval_accuracy,3,6,6,0.5,0.5,2,"[0.3333333333333333, 0.6666666666666666]"
E1,11,old_DEV,H_eval_Fix,1,2,2,0.5,0.5,2,"[0, 1]"
E1,11,old_DEV,H_eval_Retention,2,4,4,0.5,0.5,2,"[0.5, 0.5]"
E1,11,old_DEV,U_eval_accuracy,2,9,9,0.2222222222222222,0.3125,4,"[0.08333333333333333, 0.4166666666666667]"
E1,11,old_DEV,U_eval_Fix,0,1,1,0,0,1,
E1,11,old_DEV,U_eval_Retention,2,8,8,0.25,0.3333333333333333,4,"[0.1111111111111111, 0.4444444444444444]"
E1,11,old_DEV,U_eval_strict_Retention,2,8,8,0.25,0.3333333333333333,4,"[0.1111111111111111, 0.4444444444444444]"
E1,11,old_DEV,native_text_extension_accuracy,11,11,11,1,1,11,"[1, 1]"
E1,11,old_DEV,positive_image_accuracy,0,0,0,,,0,
E1,19,native,native_accuracy,19,19,19,1,1,16,"[1, 1]"
E1,19,native,native_Fix,19,19,19,1,1,16,"[1, 1]"
E1,19,native,H_eval_accuracy,0,0,0,,,0,
E1,19,native,H_eval_Fix,0,0,0,,,0,
E1,19,native,H_eval_Retention,0,0,0,,,0,
