N,role,query_id,prefix,known_owners,winner,winner_is_any_owner
19,H_fit,T029,1,[1],0,False
19,H_fit,T029,2,[1],0,False
19,H_fit,T029,3,[1],0,False
19,H_fit,T029,4,[1],0,False
19,H_fit,T029,5,[1],0,False
19,H_fit,T029,6,[1],0,False
19,H_fit,T029,7,[1],0,False
19,H_fit,T029,8,[1],8,False
19,H_fit,T029,9,[1],8,False
19,H_fit,T029,10,[1],8,False
19,H_fit,T029,11,[1],8,False
19,H_fit,T029,12,[1],8,False
19,H_fit,T029,13,[1],13,False
19,H_fit,T029,14,[1],13,False
19,H_fit,T029,15,[1],13,False
19,H_fit,T029,16,[1],13,False
19,H_fit,T029,17,[1],13,False
19,H_fit,T029,18,"[1, 18]",13,False
19,H_fit,T029,19,"[1, 18]",13,False
19,H_fit,T045,2,[2],1,False
19,H_fit,T045,3,[2],1,False
19,H_fit,T045,4,[2],1,False
19,H_fit,T045,5,[2],1,False
19,H_fit,T045,6,[2],6,False
19,H_fit,T045,7,[2],6,False
19,H_fit,T045,8,[2],8,False
19,H_fit,T045,9,[2],9,False
19,H_fit,T045,10,[2],9,False
19,H_fit,T045,11,[2],9,False
19,H_fit,T045,12,[2],9,False
19,H_fit,T045,13,[2],13,False
19,H_fit,T045,14,[2],13,False
19,H_fit,T045,15,[2],13,False
19,H_fit,T045,16,[2],13,False
19,H_fit,T045,17,[2],13,False
19,H_fit,T045,18,[2],13,False
19,H_fit,T045,19,[2],13,False
19,H_fit,T004,3,[3],1,False
19,H_fit,T004,4,[3],1,False
19,H_fit,T004,5,[3],1,False
19,H_fit,T004,6,[3],6,False
19,H_fit,T004,7,[3],6,False
19,H_fit,T004,8,[3],8,False
19,H_fit,T004,9,[3],8,False
19,H_fit,T004,10,[3],8,False
19,H_fit,T004,11,[3],11,False
19,H_fit,T004,12,[3],11,False
19,H_fit,T004,13,[3],13,False
19,H_fit,T004,14,[3],13,False
19,H_fit,T004,15,[3],13,False
19,H_fit,T004,16,[3],13,False
19,H_fit,T004,17,[3],13,False
19,H_fit,T004,18,[3],13,False
19,H_fit,T004,19,[3],13,False
19,H_fit,T021,4,[4],0,False
19,H_fit,T021,5,[4],0,False
19,H_fit,T021,6,[4],0,False
19,H_fit,T021,7,[4],0,False
19,H_fit,T021,8,[4],8,False
19,H_fit,T021,9,[4],8,False
19,H_fit,T021,10,[4],8,False
19,H_fit,T021,11,[4],8,False
19,H_fit,T021,12,[4],8,False
19,H_fit,T021,13,[4],13,False
19,H_fit,T021,14,[4],13,False
19,H_fit,T021,15,[4],13,False
19,H_fit,T021,16,[4],13,False
19,H_fit,T021,17,[4],13,False
19,H_fit,T021,18,[4],13,False
19,H_fit,T021,19,[4],13,False
19,H_fit,T033,5,[5],1,False
19,H_fit,T033,6,[5],6,False
19,H_fit,T033,7,[5],6,False
19,H_fit,T033,8,[5],8,False
19,H_fit,T033,9,[5],9,False
19,H_fit,T033,10,[5],9,False
19,H_fit,T033,11,[5],9,False
19,H_fit,T033,12,[5],9,False
19,H_fit,T033,13,[5],13,False
19,H_fit,T033,14,[5],13,False
19,H_fit,T033,15,[5],13,False
19,H_fit,T033,16,[5],13,False
19,H_fit,T033,17,[5],13,False
19,H_fit,T033,18,[5],13,False
19,H_fit,T033,19,[5],13,False
19,H_fit,T032,6,[6],6,True
19,H_fit,T032,7,[6],6,True
19,H_fit,T032,8,[6],8,False
19,H_fit,T032,9,[6],9,False
19,H_fit,T032,10,[6],9,False
19,H_fit,T032,11,[6],9,False
19,H_fit,T032,12,[6],9,False
19,H_fit,T032,13,[6],13,False
19,H_fit,T032,14,[6],13,False
19,H_fit,T032,15,"[6, 15]",13,False
19,H_fit,T032,16,"[6, 15]",13,False
19,H_fit,T032,17,"[6, 15]",13,False
19,H_fit,T032,18,"[6, 15]",13,False
19,H_fit,T032,19,"[6, 15]",13,False
19,H_fit,T046,7,[7],6,False
19,H_fit,T046,8,[7],6,False
19,H_fit,T046,9,[7],6,False
19,H_fit,T046,10,[7],6,False
19,H_fit,T046,11,[7],6,False
19,H_fit,T046,12,[7],12,False
19,H_fit,T046,13,[7],12,False
19,H_fit,T046,14,[7],12,False
