N,role,query_id,owner_position,owners,winner,winner_is_this_owner,winner_is_any_owner,own_radius,winner_at_insertion,switched,winner_H_supervised,winner_U_supervised
19,H_fit,T029,1,"[1, 18]",13,False,False,False,0,True,False,False
19,H_fit,T029,18,"[1, 18]",13,False,False,True,13,False,False,False
19,H_fit,T045,2,[2],13,False,False,True,1,True,False,False
19,H_fit,T004,3,[3],13,False,False,True,1,True,False,False
19,H_fit,T021,4,[4],13,False,False,True,0,True,False,False
19,H_fit,T033,5,[5],13,False,False,True,1,True,False,False
19,H_fit,T032,6,"[6, 15]",13,False,False,True,6,True,False,False
19,H_fit,T032,15,"[6, 15]",13,False,False,True,13,False,False,False
19,H_fit,T046,7,[7],12,False,False,False,6,True,False,False
19,H_fit,T020,8,[8],13,False,False,True,8,True,False,False
19,H_fit,T038,9,"[9, 14, 19]",13,False,False,True,8,True,False,False
19,H_fit,T038,14,"[9, 14, 19]",13,False,False,True,13,False,False,False
19,H_fit,T038,19,"[9, 14, 19]",13,False,False,False,13,False,False,False
19,H_fit,T003,10,[10],13,False,False,True,8,True,False,False
19,H_fit,T011,11,[11],13,False,False,True,9,True,False,False
19,H_fit,T051,12,[12],13,False,False,False,8,True,False,False
19,H_fit,T027,13,[13],13,True,True,True,13,False,True,False
19,H_fit,T019,16,[16],13,False,False,True,13,False,False,False
19,H_fit,T049,17,[17],11,False,False,True,11,False,False,False
19,U_fit,T034,1,[1],7,False,False,False,0,True,False,False
19,U_fit,T022,2,[2],12,False,False,False,1,True,False,False
19,U_fit,T044,3,[3],8,False,False,True,0,True,False,False
19,U_fit,T006,4,[4],11,False,False,True,1,True,False,False
19,U_fit,T014,5,[5],7,False,False,True,3,True,False,False
19,U_fit,T005,6,[6],13,False,False,True,6,True,False,False
19,U_fit,T007,7,"[7, 16]",11,False,False,True,6,True,False,False
19,U_fit,T007,16,"[7, 16]",11,False,False,True,11,False,False,False
19,U_fit,T001,8,"[8, 14]",7,False,False,True,7,False,False,False
19,U_fit,T001,14,"[8, 14]",7,False,False,False,7,False,False,False
19,U_fit,T030,9,[9],8,False,False,False,8,False,False,False
19,U_fit,T052,10,[10],7,False,False,True,7,False,False,False
19,U_fit,T048,11,[11],6,False,False,True,6,False,False,False
19,U_fit,T023,12,[12],12,True,True,True,12,False,False,True
19,U_fit,T040,13,[13],14,False,False,True,6,True,False,False
19,U_fit,T010,15,[15],12,False,False,True,12,False,False,False
19,U_fit,T035,17,[17],7,False,False,True,7,False,False,False
19,U_fit,T002,18,[18],11,False,False,True,11,False,False,False
19,U_fit,T003,19,[19],13,False,False,False,13,False,False,False
45,H_fit,T029,1,"[1, 18]",13,False,False,False,0,True,False,False
45,H_fit,T029,18,"[1, 18]",13,False,False,True,13,False,False,False
45,H_fit,T045,2,"[2, 27, 32, 40]",13,False,False,True,1,True,False,False
45,H_fit,T045,27,"[2, 27, 32, 40]",13,False,False,True,13,False,False,False
