mode,role,stratum,strict_role,candidate,control,metric,paired_edits,delta,ci_low,ci_high
FORCED_ON,calibration,U,STRICT_BASE,S1,S0,semantic,0,,,
FORCED_ON,calibration,U,STRICT_BASE,S1,S0,v4_primary,0,,,
FORCED_ON,calibration,U,STRICT_BASE,S1,S0,base_correct_damage,0,,,
FORCED_ON,calibration,U,STRICT_BASE,S1,BE,semantic,0,,,
FORCED_ON,calibration,U,STRICT_BASE,S1,BE,v4_primary,0,,,
FORCED_ON,calibration,U,STRICT_BASE,S1,BE,base_correct_damage,0,,,
FORCED_ON,calibration,cross_family_confirmation,EDIT_TARGET,S1,S0,semantic,0,,,
FORCED_ON,calibration,cross_family_confirmation,EDIT_TARGET,S1,S0,v4_primary,0,,,
FORCED_ON,calibration,cross_family_confirmation,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,calibration,cross_family_confirmation,EDIT_TARGET,S1,BE,semantic,0,,,
FORCED_ON,calibration,cross_family_confirmation,EDIT_TARGET,S1,BE,v4_primary,0,,,
FORCED_ON,calibration,cross_family_confirmation,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
FORCED_ON,evaluation,U,STRICT_BASE,S1,S0,semantic,0,,,
FORCED_ON,evaluation,U,STRICT_BASE,S1,S0,v4_primary,0,,,
FORCED_ON,evaluation,U,STRICT_BASE,S1,S0,base_correct_damage,0,,,
FORCED_ON,evaluation,U,STRICT_BASE,S1,BE,semantic,0,,,
FORCED_ON,evaluation,U,STRICT_BASE,S1,BE,v4_primary,0,,,
FORCED_ON,evaluation,U,STRICT_BASE,S1,BE,base_correct_damage,0,,,
FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,S1,S0,semantic,0,,,
FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,S1,S0,v4_primary,0,,,
FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,S1,BE,semantic,0,,,
FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,S1,BE,v4_primary,0,,,
FORCED_ON,evaluation,cross_family_confirmation,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,S1,S0,semantic,0,,,
FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,S1,S0,v4_primary,0,,,
FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,S1,BE,semantic,0,,,
FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,S1,BE,v4_primary,0,,,
FORCED_ON,evaluation,source_style_confirmation,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
FORCED_ON,fit,H,STRICT_BASE,S1,S0,semantic,7,-0.09523809523809523,-0.19047619047619047,0.0
FORCED_ON,fit,H,STRICT_BASE,S1,S0,v4_primary,0,,,
FORCED_ON,fit,H,STRICT_BASE,S1,S0,base_correct_damage,0,,,
FORCED_ON,fit,H,STRICT_BASE,S1,BE,semantic,7,0.0,0.0,0.0
FORCED_ON,fit,H,STRICT_BASE,S1,BE,v4_primary,0,,,
FORCED_ON,fit,H,STRICT_BASE,S1,BE,base_correct_damage,0,,,
FORCED_ON,fit,U,STRICT_BASE,S1,S0,semantic,7,3.96508223080413e-18,-0.14285714285714285,0.11904761904761905
FORCED_ON,fit,U,STRICT_BASE,S1,S0,v4_primary,0,,,
FORCED_ON,fit,U,STRICT_BASE,S1,S0,base_correct_damage,6,-0.3111111111111111,-0.6111111111111112,-0.08888888888888889
FORCED_ON,fit,U,STRICT_BASE,S1,BE,semantic,7,0.3826530612244898,0.1921768707482993,0.5714285714285714
FORCED_ON,fit,U,STRICT_BASE,S1,BE,v4_primary,0,,,
FORCED_ON,fit,U,STRICT_BASE,S1,BE,base_correct_damage,6,-0.9166666666666666,-1.0,-0.75
FORCED_ON,fit,positive,EDIT_TARGET,S1,S0,semantic,7,0.0,0.0,0.0
FORCED_ON,fit,positive,EDIT_TARGET,S1,S0,v4_primary,0,,,
FORCED_ON,fit,positive,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,fit,positive,EDIT_TARGET,S1,BE,semantic,7,0.0,0.0,0.0
FORCED_ON,fit,positive,EDIT_TARGET,S1,BE,v4_primary,0,,,
FORCED_ON,fit,positive,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
FORCED_ON,formal_development,T1G,EDIT_TARGET,S1,S0,semantic,6,0.0,0.0,0.0
FORCED_ON,formal_development,T1G,EDIT_TARGET,S1,S0,v4_primary,6,0.0,0.0,0.0
FORCED_ON,formal_development,T1G,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,formal_development,T1G,EDIT_TARGET,S1,BE,semantic,6,0.0,0.0,0.0
FORCED_ON,formal_development,T1G,EDIT_TARGET,S1,BE,v4_primary,6,0.0,0.0,0.0
FORCED_ON,formal_development,T1G,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
FORCED_ON,formal_development,T1L,STRICT_BASE,S1,S0,semantic,2,0.0,0.0,0.0
FORCED_ON,formal_development,T1L,STRICT_BASE,S1,S0,v4_primary,2,0.0,0.0,0.0
FORCED_ON,formal_development,T1L,STRICT_BASE,S1,S0,base_correct_damage,2,0.0,0.0,0.0
FORCED_ON,formal_development,T1L,STRICT_BASE,S1,BE,semantic,2,0.0,0.0,0.0
FORCED_ON,formal_development,T1L,STRICT_BASE,S1,BE,v4_primary,2,0.0,0.0,0.0
FORCED_ON,formal_development,T1L,STRICT_BASE,S1,BE,base_correct_damage,2,0.0,0.0,0.0
FORCED_ON,formal_development,T2G,EDIT_TARGET,S1,S0,semantic,6,-0.5277777777777778,-0.75,-0.2777777777777778
FORCED_ON,formal_development,T2G,EDIT_TARGET,S1,S0,v4_primary,6,-0.5277777777777778,-0.75,-0.2777777777777778
FORCED_ON,formal_development,T2G,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,formal_development,T2G,EDIT_TARGET,S1,BE,semantic,6,-0.5694444444444444,-0.7916666666666666,-0.2916666666666667
FORCED_ON,formal_development,T2G,EDIT_TARGET,S1,BE,v4_primary,6,-0.5694444444444444,-0.7916666666666666,-0.2916666666666667
FORCED_ON,formal_development,T2G,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
FORCED_ON,formal_development,T2L,STRICT_BASE,S1,S0,semantic,1,0.0,,
FORCED_ON,formal_development,T2L,STRICT_BASE,S1,S0,v4_primary,1,0.0,,
FORCED_ON,formal_development,T2L,STRICT_BASE,S1,S0,base_correct_damage,1,0.0,,
FORCED_ON,formal_development,T2L,STRICT_BASE,S1,BE,semantic,1,0.5,,
FORCED_ON,formal_development,T2L,STRICT_BASE,S1,BE,v4_primary,1,0.5,,
FORCED_ON,formal_development,T2L,STRICT_BASE,S1,BE,base_correct_damage,1,-0.5,,
FORCED_ON,native,NATIVE_DIAGNOSTIC,EDIT_TARGET,S1,S0,semantic,1,0.0,,
FORCED_ON,native,NATIVE_DIAGNOSTIC,EDIT_TARGET,S1,S0,v4_primary,0,,,
FORCED_ON,native,NATIVE_DIAGNOSTIC,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,native,NATIVE_DIAGNOSTIC,EDIT_TARGET,S1,BE,semantic,1,0.0,,
FORCED_ON,native,NATIVE_DIAGNOSTIC,EDIT_TARGET,S1,BE,v4_primary,0,,,
FORCED_ON,native,NATIVE_DIAGNOSTIC,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
FORCED_ON,native,T0,EDIT_TARGET,S1,S0,semantic,6,0.0,0.0,0.0
FORCED_ON,native,T0,EDIT_TARGET,S1,S0,v4_primary,6,0.0,0.0,0.0
FORCED_ON,native,T0,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
FORCED_ON,native,T0,EDIT_TARGET,S1,BE,semantic,6,0.0,0.0,0.0
FORCED_ON,native,T0,EDIT_TARGET,S1,BE,v4_primary,6,0.0,0.0,0.0
FORCED_ON,native,T0,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
ROUTED,calibration,U,STRICT_BASE,S1,S0,semantic,0,,,
ROUTED,calibration,U,STRICT_BASE,S1,S0,v4_primary,0,,,
ROUTED,calibration,U,STRICT_BASE,S1,S0,base_correct_damage,0,,,
ROUTED,calibration,U,STRICT_BASE,S1,BE,semantic,0,,,
ROUTED,calibration,U,STRICT_BASE,S1,BE,v4_primary,0,,,
ROUTED,calibration,U,STRICT_BASE,S1,BE,base_correct_damage,0,,,
ROUTED,calibration,cross_family_confirmation,EDIT_TARGET,S1,S0,semantic,0,,,
ROUTED,calibration,cross_family_confirmation,EDIT_TARGET,S1,S0,v4_primary,0,,,
ROUTED,calibration,cross_family_confirmation,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
ROUTED,calibration,cross_family_confirmation,EDIT_TARGET,S1,BE,semantic,0,,,
ROUTED,calibration,cross_family_confirmation,EDIT_TARGET,S1,BE,v4_primary,0,,,
ROUTED,calibration,cross_family_confirmation,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
ROUTED,evaluation,U,STRICT_BASE,S1,S0,semantic,0,,,
ROUTED,evaluation,U,STRICT_BASE,S1,S0,v4_primary,0,,,
ROUTED,evaluation,U,STRICT_BASE,S1,S0,base_correct_damage,0,,,
ROUTED,evaluation,U,STRICT_BASE,S1,BE,semantic,0,,,
ROUTED,evaluation,U,STRICT_BASE,S1,BE,v4_primary,0,,,
ROUTED,evaluation,U,STRICT_BASE,S1,BE,base_correct_damage,0,,,
ROUTED,evaluation,cross_family_confirmation,EDIT_TARGET,S1,S0,semantic,0,,,
ROUTED,evaluation,cross_family_confirmation,EDIT_TARGET,S1,S0,v4_primary,0,,,
ROUTED,evaluation,cross_family_confirmation,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
ROUTED,evaluation,cross_family_confirmation,EDIT_TARGET,S1,BE,semantic,0,,,
ROUTED,evaluation,cross_family_confirmation,EDIT_TARGET,S1,BE,v4_primary,0,,,
ROUTED,evaluation,cross_family_confirmation,EDIT_TARGET,S1,BE,base_correct_damage,0,,,
ROUTED,evaluation,source_style_confirmation,EDIT_TARGET,S1,S0,semantic,0,,,
ROUTED,evaluation,source_style_confirmation,EDIT_TARGET,S1,S0,v4_primary,0,,,
ROUTED,evaluation,source_style_confirmation,EDIT_TARGET,S1,S0,base_correct_damage,0,,,
ROUTED,evaluation,source_style_confirmation,EDIT_TARGET,S1,BE,semantic,0,,,
ROUTED,evaluation,source_style_confirmation,EDIT_TARGET,S1,BE,v4_primary,0,,,
