cohort,edit,method,new_training,parameters,training_seconds,elapsed_seconds,load_seconds,generation_seconds,route_seconds,peak_vram_bytes,resident_vram_bytes,storage_bytes,disk_bytes,forward_count,backward_count,teacher_forward_count,fit_samples,peak_resident_vram_bytes,feature_seconds,request_seconds,replay_seconds,generated,derived,optimizer_steps
OLD_STAGE3_COMMON7,27,W0,False,1476,75.7309209239902,166.16736964299344,,,,,,,,668,640,0,,,,,,,,
OLD_STAGE3_COMMON7,27,W01,True,1476,181.95001968799625,227.17034122592304,,,,,,,,1308,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,27,W1,False,1476,180.42723153100815,225.05754042393528,,,,,,,,1308,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,27,BE,False,58720256,4.4265869909431785,62.866668196045794,0.20749378099571913,,,16506965504,,234899254,,,,,,,,,,,,
OLD_STAGE3_COMMON7,35,W0,False,1476,77.7238057909999,244.81090250099078,,,,,,,,676,640,0,,,,,,,,
OLD_STAGE3_COMMON7,35,W01,True,1476,188.80654371797573,273.43816714710556,,,,,,,,1316,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,35,W1,False,1476,195.8984153419733,278.63791411102284,,,,,,,,1316,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,35,BE,False,58720256,4.383317171013914,82.61417147691827,0.20772789791226387,,,16507014656,,234899318,,,,,,,,,,,,
OLD_STAGE3_COMMON7,66,W0,False,1476,78.47869752102997,197.30227771401405,,,,,,,,672,640,0,,,,,,,,
OLD_STAGE3_COMMON7,66,W01,True,1476,187.54864035209175,249.06028474797495,,,,,,,,1312,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,66,W1,False,1476,196.14105124492198,255.39555577095598,,,,,,,,1312,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,66,BE,False,58720256,4.604340130928904,55.82221072609536,0.20817501691635698,,,16506924544,,234899254,,,,,,,,,,,,
OLD_STAGE3_COMMON7,143,W0,False,1476,75.63176972500514,170.37164479098283,,,,,,,,664,640,0,,,,,,,,
OLD_STAGE3_COMMON7,143,W01,True,1476,188.45061156107113,252.48609382496215,,,,,,,,1304,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,143,W1,False,1476,187.15339665999636,240.44413687405176,,,,,,,,1304,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,143,BE,False,58720256,5.02248895901721,47.831086868071,0.20584788406267762,,,16506850816,,234899254,,,,,,,,,,,,
OLD_STAGE3_COMMON7,168,W0,False,1476,77.17215871391818,220.55665114393923,,,,,,,,680,640,0,,,,,,,,
OLD_STAGE3_COMMON7,168,W01,True,1476,185.31913679698482,249.34466277295724,,,,,,,,1320,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,168,W1,False,1476,183.8553693080321,247.56593125802465,,,,,,,,1320,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,168,BE,False,58720256,4.8024697409709916,69.04046215000562,0.20362128596752882,,,16506891776,,234899254,,,,,,,,,,,,
OLD_STAGE3_COMMON7,172,W0,False,1476,73.44862509402446,183.33205882494804,,,,,,,,664,640,0,,,,,,,,
OLD_STAGE3_COMMON7,172,W01,True,1476,188.38426743098535,250.96667601796798,,,,,,,,1304,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,172,W1,False,1476,193.64350496290717,245.63594538008329,,,,,,,,1304,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,172,BE,False,58720256,5.65773455100134,58.82124857790768,1.1164732470642775,,,16506891776,,234899254,,,,,,,,,,,,
OLD_STAGE3_COMMON7,270,W0,False,1476,77.74519905191846,216.0673074730439,,,,,,,,676,640,0,,,,,,,,
OLD_STAGE3_COMMON7,270,W01,True,1476,192.58917282498442,255.17001493705902,,,,,,,,1316,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,270,W1,False,1476,195.96606932010036,257.3399587770691,,,,,,,,1316,1280,0,,,,,,,,
OLD_STAGE3_COMMON7,270,BE,False,58720256,4.977125584031455,77.61777313996572,1.1646944930544123,,,16507014656,,234899318,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,101,W0,False,1476,82.86828029400203,309.6547256159829,,,,,,,,704,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,101,W01,True,1476,188.20487401308492,309.880514326971,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,101,W1,False,1476,198.01787156704813,339.1536151779583,,,,,,,,1344,1280,0,,,,,,,,
