cohort,track,prefix,role,stratum,strict_role,candidate,control,mode,control_mode,metric,paired_inputs,paired_edits,source_images,patients,delta,ci_low,ci_high,input_delta_micro,image_cluster_delta,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,sensitivity_scope,bootstrap_draws,bootstrap_seed
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,R0,R0,semantic,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,R0,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,R0,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,R0,R0,base_wrong_became_correct,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,R0,R0,base_wrong_changed,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,R0,R0,fpr,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,FORCED_ON,FORCED_ON,semantic,16,7,13,UNKNOWN,-0.09523809523809523,-0.23809523809523808,0.0,-0.125,-0.07692307692307693,-0.23076923076923078,0.0,-0.14285714285714285,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,FORCED_ON,FORCED_ON,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,FORCED_ON,FORCED_ON,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,FORCED_ON,FORCED_ON,base_wrong_became_correct,16,7,13,UNKNOWN,-0.09523809523809523,-0.23809523809523808,0.0,-0.125,-0.07692307692307693,-0.23076923076923078,0.0,-0.14285714285714285,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,FORCED_ON,FORCED_ON,base_wrong_changed,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W0,FORCED_ON,FORCED_ON,fpr,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,R0,R0,semantic,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,R0,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,R0,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,R0,R0,base_wrong_became_correct,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,R0,R0,base_wrong_changed,16,7,13,UNKNOWN,0.14285714285714285,0.0,0.42857142857142855,0.0625,0.07692307692307693,0.0,0.23076923076923078,0.0,0.16666666666666666,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,R0,R0,fpr,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,FORCED_ON,FORCED_ON,semantic,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,FORCED_ON,FORCED_ON,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,FORCED_ON,FORCED_ON,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
OLD_STAGE3_COMMON7,A,0,fit,H,STRICT_BASE,W01,W1,FORCED_ON,FORCED_ON,base_wrong_became_correct,16,7,13,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
