cohort,condition,mode,role,panel,inputs,lost_correction,avoided_damage,introduced_damage,gained_correction
APR_OLD_STAGE3_COMMON7,C1,FORCED_ON,native,T0,6,6,0,0,0
APR_OLD_STAGE3_COMMON7,C1,RC_FIXED_OLD16,native,T0,6,6,0,0,0
APR_OLD_STAGE3_COMMON7,C2,FORCED_ON,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,C2,RC_FIXED_OLD16,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,C1,FORCED_ON,formal_development,T1G,22,22,0,0,0
APR_OLD_STAGE3_COMMON7,C1,RC_FIXED_OLD16,formal_development,T1G,22,15,0,0,0
APR_OLD_STAGE3_COMMON7,C2,FORCED_ON,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,C2,RC_FIXED_OLD16,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,C1,FORCED_ON,formal_development,T2G,23,18,0,0,1
APR_OLD_STAGE3_COMMON7,C1,RC_FIXED_OLD16,formal_development,T2G,23,18,0,0,1
APR_OLD_STAGE3_COMMON7,C2,FORCED_ON,formal_development,T2G,23,6,0,0,1
APR_OLD_STAGE3_COMMON7,C2,RC_FIXED_OLD16,formal_development,T2G,23,6,0,0,1
APR_OLD_STAGE3_COMMON7,C1,FORCED_ON,fit,positive,24,22,0,0,0
APR_OLD_STAGE3_COMMON7,C1,RC_FIXED_OLD16,fit,positive,24,22,0,0,0
APR_OLD_STAGE3_COMMON7,C2,FORCED_ON,fit,positive,24,0,0,0,0
APR_OLD_STAGE3_COMMON7,C2,RC_FIXED_OLD16,fit,positive,24,0,0,0,0
APR_OLD_STAGE3_COMMON7,C1,FORCED_ON,fit,H,16,2,0,0,0
APR_OLD_STAGE3_COMMON7,C1,RC_FIXED_OLD16,fit,H,16,0,0,0,0
APR_OLD_STAGE3_COMMON7,C2,FORCED_ON,fit,H,16,0,0,0,0
APR_OLD_STAGE3_COMMON7,C2,RC_FIXED_OLD16,fit,H,16,0,0,0,0
APR_OLD_STAGE3_COMMON7,C1,FORCED_ON,fit,U,39,3,3,0,1
APR_OLD_STAGE3_COMMON7,C1,RC_FIXED_OLD16,fit,U,39,0,0,0,0
APR_OLD_STAGE3_COMMON7,C2,FORCED_ON,fit,U,39,3,4,0,4
APR_OLD_STAGE3_COMMON7,C2,RC_FIXED_OLD16,fit,U,39,0,0,0,0
APR_OLD_STAGE3_COMMON7,C1,FORCED_ON,formal_development,T1L,10,2,4,0,0
APR_OLD_STAGE3_COMMON7,C1,RC_FIXED_OLD16,formal_development,T1L,10,1,0,0,0
