R_rank,anchor_columns,anchor_rank,cohort,edit,elapsed_seconds,expanded_parameters,expanded_tensor_bytes,fit_seconds,fp64_anchor_error,gram1_condition,gram2_condition,irreducible_combination_energy,negative_columns,original_parameters,repairs_container_bytes,ridge,support,condition,anchor_relative_error,fp32_anchor_relative_error,negative_energy_ratio,relative_repair_norm,anchor_singular_min,anchor_singular_max,R_singular_min,R_singular_max
20,55,55,OLD_STAGE3_COMMON7,27,55.83200454711914,57860,231440,6.525206089019775,2.8292447424517308e-14,596.5605188915341,365.88529979576595,0.0,20,1476,698674,7.16792110012748,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,4.173762783853052,506.2485406030147,1.0773111056298157,55.137239978691035
20,55,55,OLD_STAGE3_COMMON7,27,55.83200454711914,57860,231440,6.525206089019775,2.8292447424517308e-14,596.5605188915341,365.88529979576595,0.0,20,1476,698674,7.16792110012748,H_U_REPAIR,C1,0.5942094305442117,0.5942094313463325,8.241800757186059e-05,0.08612667175977419,4.173762783853052,506.2485406030147,1.0773111056298157,55.137239978691035
20,55,55,OLD_STAGE3_COMMON7,27,55.83200454711914,57860,231440,6.525206089019775,2.8292447424517308e-14,596.5605188915341,365.88529979576595,0.0,20,1476,698674,7.16792110012748,H_U_REPAIR,C2,2.8292447424517308e-14,8.478026015066686e-09,0.023166610190178516,0.5003624907103412,4.173762783853052,506.2485406030147,1.0773111056298157,55.137239978691035
28,75,75,OLD_STAGE3_COMMON7,35,105.54052996635437,57860,231440,7.359171152114868,8.008050989075286e-15,824.1235846717776,514.3656620274711,0.0,28,1476,698674,5.119946143831291,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,1.7886331931260864,582.4534467555989,0.9171741842506075,55.327147952705225
28,75,75,OLD_STAGE3_COMMON7,35,105.54052996635437,57860,231440,7.359171152114868,8.008050989075286e-15,824.1235846717776,514.3656620274711,0.0,28,1476,698674,5.119946143831291,H_U_REPAIR,C1,0.3935350011613844,0.3935350004671219,7.321083981517072e-05,0.07787904648727213,1.7886331931260864,582.4534467555989,0.9171741842506075,55.327147952705225
28,75,75,OLD_STAGE3_COMMON7,35,105.54052996635437,57860,231440,7.359171152114868,8.008050989075286e-15,824.1235846717776,514.3656620274711,0.0,28,1476,698674,5.119946143831291,H_U_REPAIR,C2,8.008050989075286e-15,8.036550510960795e-09,0.0023120384654763777,0.27241360625090527,1.7886331931260864,582.4534467555989,0.9171741842506075,55.327147952705225
20,35,35,OLD_STAGE3_COMMON7,66,75.45311379432678,57860,231440,6.106149911880493,4.922344325203858e-14,40.14015336179977,122.62133803115489,0.0,20,1476,698674,7.167918736573569,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,6.568755180748952,418.9469314528176,4.165106919755913,54.76331820964265
20,35,35,OLD_STAGE3_COMMON7,66,75.45311379432678,57860,231440,6.106149911880493,4.922344325203858e-14,40.14015336179977,122.62133803115489,0.0,20,1476,698674,7.167918736573569,H_U_REPAIR,C1,0.4238478920936954,0.423847892310994,2.6427764255291078e-05,0.06693908982891693,6.568755180748952,418.9469314528176,4.165106919755913,54.76331820964265
20,35,35,OLD_STAGE3_COMMON7,66,75.45311379432678,57860,231440,6.106149911880493,4.922344325203858e-14,40.14015336179977,122.62133803115489,0.0,20,1476,698674,7.167918736573569,H_U_REPAIR,C2,4.922344325203858e-14,1.0492067694138875e-08,0.0452827492437468,0.39819775936082635,6.568755180748952,418.9469314528176,4.165106919755913,54.76331820964265
24,35,35,OLD_STAGE3_COMMON7,143,61.62787675857544,57860,231440,6.166075944900513,5.5823178409896984e-14,533.241882551404,284.5386360135501,0.0,24,1476,698674,5.973264582595922,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,13.175640918857646,428.4785779776501,1.3745584179936836,47.23623266999674
24,35,35,OLD_STAGE3_COMMON7,143,61.62787675857544,57860,231440,6.166075944900513,5.5823178409896984e-14,533.241882551404,284.5386360135501,0.0,24,1476,698674,5.973264582595922,H_U_REPAIR,C1,0.7514620556909908,0.7514620560572356,4.6331113395583e-05,0.09041634699090813,13.175640918857646,428.4785779776501,1.3745584179936836,47.23623266999674
