cohort,condition,mode,role,panel,inputs,lost_correction,gained_correction,avoided_damage,introduced_damage
APR_OLD_STAGE3_COMMON7,B2,FORCED_ON,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,B2,RC_FIXED_OLD16,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,B3,FORCED_ON,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,B3,RC_FIXED_OLD16,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,B1,FORCED_ON,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,B1,RC_FIXED_OLD16,native,T0,6,0,0,0,0
APR_OLD_STAGE3_COMMON7,B2,FORCED_ON,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,B2,RC_FIXED_OLD16,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,B3,FORCED_ON,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,B3,RC_FIXED_OLD16,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,B1,FORCED_ON,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,B1,RC_FIXED_OLD16,formal_development,T1G,22,0,0,0,0
APR_OLD_STAGE3_COMMON7,B2,FORCED_ON,formal_development,T2G,23,0,0,0,0
APR_OLD_STAGE3_COMMON7,B2,RC_FIXED_OLD16,formal_development,T2G,23,0,0,0,0
APR_OLD_STAGE3_COMMON7,B3,FORCED_ON,formal_development,T2G,23,3,1,0,0
APR_OLD_STAGE3_COMMON7,B3,RC_FIXED_OLD16,formal_development,T2G,23,3,1,0,0
APR_OLD_STAGE3_COMMON7,B1,FORCED_ON,formal_development,T2G,23,6,1,0,0
APR_OLD_STAGE3_COMMON7,B1,RC_FIXED_OLD16,formal_development,T2G,23,6,1,0,0
APR_OLD_STAGE3_COMMON7,B2,FORCED_ON,fit,positive,24,0,0,0,0
APR_OLD_STAGE3_COMMON7,B2,RC_FIXED_OLD16,fit,positive,24,0,0,0,0
APR_OLD_STAGE3_COMMON7,B3,FORCED_ON,fit,positive,24,0,0,0,0
APR_OLD_STAGE3_COMMON7,B3,RC_FIXED_OLD16,fit,positive,24,0,0,0,0
APR_OLD_STAGE3_COMMON7,B1,FORCED_ON,fit,positive,24,0,0,0,0
APR_OLD_STAGE3_COMMON7,B1,RC_FIXED_OLD16,fit,positive,24,0,0,0,0
